ProfileCnt,LayoutName,UsedByProfiles
70,Account-Accounts Germany 2019 v2,|Admin|Benelux- GDPR User|ContractManager|Development Services|FI Contract Manager|FI Marketing User|FI Standard User -Lightning|FI Standard User|FI System Administrator|France- GDPR User|GE Contract Manager|GE Local Admin|GE Marketing User|GE No Extract|GE Opp User|GE Standard User|GO CPRE|GO Customer Service Manager|GO Gorkana Group Chatter|GO Gorkana Group Marketing User|GO Gorkana Group Standard User - Agency-2018|GO Gorkana Group Standard User - Agency|GO Gorkana Group Standard User - Bundles for PRN|GO Gorkana Group Standard User - Bundles- 2018|GO Gorkana Group Standard User - Bundles|GO Gorkana Group Standard User - Trainer|GO Gorkana Group Standard User - US|GO Gorkana Group Standard User-CS|GO Gorkana Group Standard User|GO Gorkana Group Super User - US|GO Gorkana Group Super User|GO Gorkana Management|Identity User|Inactive Profile|MarketingProfile|Premier Support User|PRN Standard User|ReadOnly|REMOVED GO Gorkana Group Standard User- Manager|REMOVED GO Integration|SE Contract Manager|SE Marketing User|SE Sales Manager User|SE Solution Manager|SE Standard User -Lightning|SE Standard User|SE Support User|SE System Administrator|SE Test User Temp|Senior Insights Manager|SolutionManager|Standard Platform User|Standard|StandardAul|Sys Admin - Data Restrictions|System Administrator Upload|UK Contracts User 2018|UK Credit Control User|UK Marketing User|UK New Business%3A PRN %26 Mid-market 2018|UK Sales Manager- Test Profile|UK Sales Manager- TK|UK Sales Manager|UK Solution Manager|UK Standard User|UK VP of Sales|_GGGSUA2|_GGGSUB2|_GGGSUCS|_VoSaCO
3,Account-Accounts Germany- Manager layout,|GE Management User|GE Solution Manager|VP of Sales or Customer Operations
1,Account-Accounts Germany- SYS Admin,|Admin
0,Account-Contracts Account Layout 2019,
0,Account-Copy of GO Account Layout 2019- Manager,
2,Account-Copy of GO Customer Account Layout 2019- TK,|GO Gorkana Group Standard User - Agency-2018|GO Gorkana Group Standard User - Agency-2018
58,Account-FI Account Layout,|Admin|Benelux- GDPR User|ContractManager|Development Services|France- GDPR User|GE Contract Manager|GE Local Admin|GE Management User|GE Marketing User|GE No Extract|GE Opp User|GE Solution Manager|GE Standard User|GO CPRE|GO Customer Service Manager|GO Gorkana Group Chatter|GO Gorkana Group Marketing User|GO Gorkana Group Standard User - Agency-2018|GO Gorkana Group Standard User - Agency|GO Gorkana Group Standard User - Bundles for PRN|GO Gorkana Group Standard User - Bundles- 2018|GO Gorkana Group Standard User - Bundles|GO Gorkana Group Standard User - Trainer|GO Gorkana Group Standard User - US|GO Gorkana Group Standard User-CS|GO Gorkana Group Standard User|GO Gorkana Group Super User - US|GO Gorkana Group Super User|GO Gorkana Management|Identity User|Inactive Profile|MarketingProfile|Premier Support User|PRN Standard User|ReadOnly|REMOVED GO Gorkana Group Standard User- Manager|REMOVED GO Integration|Senior Insights Manager|SolutionManager|Standard Platform User|Standard|StandardAul|Sys Admin - Data Restrictions|System Administrator Upload|UK Contracts User 2018|UK Credit Control User|UK Marketing User|UK New Business%3A PRN %26 Mid-market 2018|UK Sales Manager- Test Profile|UK Sales Manager- TK|UK Sales Manager|UK Solution Manager|UK Standard User|UK VP of Sales|_GGGSUA2|_GGGSUB2|_GGGSUCS|_VoSaCO
17,Account-GO Account Layout,|GE Marketing User|GE Marketing User|GO Customer Service Manager|GO Customer Service Manager|GO Gorkana Group Chatter|GO Gorkana Group Chatter|GO Gorkana Group Marketing User|GO Gorkana Group Marketing User|GO Gorkana Group Standard User - Trainer|GO Gorkana Group Standard User - Trainer|GO Gorkana Group Standard User-CS|GO Gorkana Group Standard User-CS|UK Marketing User|UK Marketing User|UK New Business%3A PRN %26 Mid-market 2018|UK Solution Manager|UK Standard User
0,Account-GO Account Layout 2018,
2,Account-GO Account Layout 2019,|GO CPRE|GO CPRE
0,Account-GO Account Layout 2019- Manager,
75,Account-GO Account Layout- SYS Admin,|Admin|Admin|Benelux- GDPR User|ContractManager|Development Services|FI Contract Manager|FI Marketing User|FI Standard User -Lightning|FI Standard User|FI System Administrator|France- GDPR User|GE Contract Manager|GE Local Admin|GE Management User|GE Marketing User|GE No Extract|GE Opp User|GE Solution Manager|GE Standard User|GO CPRE|GO Customer Service Manager|GO Gorkana Group Chatter|GO Gorkana Group Marketing User|GO Gorkana Group Standard User - Agency-2018|GO Gorkana Group Standard User - Agency|GO Gorkana Group Standard User - Bundles for PRN|GO Gorkana Group Standard User - Bundles- 2018|GO Gorkana Group Standard User - Bundles|GO Gorkana Group Standard User - Trainer|GO Gorkana Group Standard User - US|GO Gorkana Group Standard User-CS|GO Gorkana Group Standard User|GO Gorkana Group Super User - US|GO Gorkana Group Super User|GO Gorkana Management|Identity User|Inactive Profile|MarketingProfile|Premier Support User|PRN Standard User|ReadOnly|REMOVED GO Gorkana Group Standard User- Manager|REMOVED GO Integration|SE Contract Manager|SE Marketing User|SE Sales Manager User|SE Solution Manager|SE Standard User -Lightning|SE Standard User|SE Support User|SE System Administrator|SE System Administrator|SE Test User Temp|Senior Insights Manager|SolutionManager|Standard Platform User|Standard|StandardAul|Sys Admin - Data Restrictions|System Administrator Upload|UK Contracts User 2018|UK Credit Control User|UK Marketing User|UK New Business%3A PRN %26 Mid-market 2018|UK Sales Manager- Test Profile|UK Sales Manager- TK|UK Sales Manager|UK Solution Manager|UK Standard User|UK VP of Sales|VP of Sales or Customer Operations|_GGGSUA2|_GGGSUB2|_GGGSUCS|_VoSaCO
2,Account-GO Administrator Account Layout,|GO Gorkana Group Super User|GO Gorkana Group Super User
0,Account-GO CPRE,
0,Account-GO CPRE 2018,
0,Account-GO Customer Account Layout,
0,Account-GO Customer Account Layout 2018,
